domain,country,segment_id,search_term,oss_phrase_sector,yearmonth,oss_phrase_rank,oss_phrase_visits,oss_phrase_converted_visits,oss_phrase_conversion_rate
mercadolibre.com.mx,MX,mercadolibre.com.mx#,directa,Marketplaces,2024-08,10000,829,75,0.0909
amazon.com.mx,MX,amazon.com.mx#Tools and Home Improvement,thrones libros,Home Ware and Improvement,2024-08,10000,270,0,0.0
amazon.com,MX,amazon.com#,reggiano,Marketplaces,2024-08,10000,182,0,0.0
amazon.com.mx,MX,amazon.com.mx#,para scooter,Marketplaces,2024-08,10000,1053,78,0.0742
shopee.vn,VN,shopee.vn#,espresso,Marketplaces,2024-08,10000,1320,0,0.0
amazon.es,PT,amazon.es#,cl16,Marketplaces,2024-08,10000,333,0,0.0
temu.com,AU,temu.com#,monitor stand for,Marketplaces,2024-08,10000,562,0,0.0
ebay.com.au,AU,ebay.com.au#,water slide decals,Marketplaces,2024-08,10000,192,115,0.6
amazon.com.au,AU,amazon.com.au#,wireless charging stand,Marketplaces,2024-08,10000,866,87,0.1
mercadolibre.com.ve,VE,mercadolibre.com.ve#,perforadora agricola desde,Grocery,2024-08,10000,327,0,0.0
