domain,brand,category_id,keyword,yearmonth,brand_onsite_search_top_keywords_brand_clicks,brand_onsite_search_top_keywords_brand_organic_clicks_share,brand_onsite_search_top_keywords_brand_paid_clicks_share,brand_onsite_search_top_keywords_total_clicks,brand_onsite_search_top_keywords_brand_share
amazon.com,Stanley,-1,stanley cup,2024-09,1301488,0.821,0.179,1741214,0.747
amazon.com,Stanley,284507,stanley cup,2024-09,1212685,0.822,0.178,1518811,0.798
amazon.com,Stanley,1055398,stanley cup,2024-09,1212685,0.822,0.178,1522265,0.797
amazon.com,Owala,-1,owala,2024-09,1170658,0.912,0.088,1470224,0.796
amazon.com,Stanley,13162311,stanley cup,2024-09,1089408,0.802,0.198,1237456,0.88
amazon.com,Stanley,13217501,stanley cup,2024-09,1078147,0.8,0.2,1219732,0.884
amazon.com,Stanley,13218451,stanley cup,2024-09,1050432,0.796,0.204,1187922,0.884
amazon.com,Owala,284507,owala,2024-09,997854,0.901,0.099,1101123,0.906
amazon.com,Owala,1055398,owala,2024-09,997854,0.901,0.099,1101159,0.906
amazon.com,Crocs,-1,crocs,2024-09,980943,0.687,0.313,1158412,0.847
