domain,country,keyword,date,paid_mobile_site_clicks,paid_desktop_site_clicks,organic_desktop_site_clicks,organic_mobile_site_clicks
amazon.com,WW,amazon,2024-09-30,4608909.169303372,1845428.6582969844,5477674.32937008,6592612.985781472
amazon.com,US,amazon,2024-09-30,4320956.557151553,1574152.386465191,4565438.6153322,4394095.603024614
amazon.in,IN,amazon,2024-09-30,3237680.109763368,1132074.0196454497,854860.9790798577,930345.681046322
amazon.in,WW,amazon,2024-09-30,3237680.109763368,1137227.21372978,859957.6672324128,945244.9805439534
temu.com,WW,temu,2024-09-30,2372807.829855942,1950133.5761832905,1689714.7013835094,2143140.427987937
walmart.com,WW,walmart,2024-09-30,1599314.9536892197,749225.8506549551,1126041.575658162,2127935.7715736106
walmart.com,US,walmart,2024-09-30,1591205.4291568948,745934.9365093643,1044569.4021159012,1980472.1716050608
flipkart.com,WW,flipkart,2024-09-30,1575855.8153400354,359207.9259513133,1766214.34936219,9822605.515373796
flipkart.com,IN,flipkart,2024-09-30,1575747.3453693234,358403.93714107154,1686337.263559388,9665474.713108774
shein.com,WW,shein,2024-09-30,1441070.8430289272,1587241.2232653194,932922.6741405064,1636710.337104386
