app,country,date,apps_sessions_per_user,apps_avg_usage_time_per_session,apps_avg_total_usage_time_per_user,apps_install_penetration,apps_unique_installs,apps_downloads,apps_daily_active_users_ios,apps_daily_active_users_android
com.buee.mutupipe,IN,2024-10-06,129.07999999999998,6535.745565702348,843634.037620859,3.5282787387484674e-06,10.126057438150369,0.3330141008497518,,122.1741352473804
com.buee.mutupipe,WW,2024-10-06,129.07999999999998,6535.745565702348,843634.037620859,0.00013040856463241915,69.63524352978983,7.94939852005926,,1827.6748382870555
com.fiverr.fiverm,NG,2024-10-06,129.0,7213.178294573643,930500.0,0.0005077396916192086,,70.27942304250735,,3071.3498774398986
com.fiverr.fiverm,WW,2024-10-06,129.0,7213.178294573643,930500.0,4.067360817512812e-06,,70.27942304250735,,3148.362120285289
com.view.ytrabbit,IN,2024-10-06,126.87555555555556,61401.3996529786,7790336.692860355,6.010376333580461e-06,11.284271270724933,0.7770329019827543,,313.9751963672597
dev.bablubugis.kurirmagatti,ID,2024-10-06,117.5,65034.04255319149,7641500.0,5.893385494902363e-06,,144.70670762564225,,608.7710662084705
dev.bablubugis.kurirmagatti,WW,2024-10-06,117.5,65034.04255319149,7641499.999999999,4.640164576908177e-07,,144.70670762564225,,608.7710662084705
com.collection.sri.lanka.col.lk.app,LK,2024-10-06,102.76363636363637,83969.43386105113,8629004.366957473,2.494845612362625e-05,,1.3810601484033411,,121.026950448596
com.collection.sri.lanka.col.lk.app,WW,2024-10-06,102.76363636363637,83969.43386105113,8629004.366957473,6.687303380656189e-08,,1.3810601484033411,,121.026950448596
com.miui.home,AD,2024-10-06,101.5,26630.788177339906,2703025.0,0.5231128894750063,,,,
