app,country,daysback,yearmonth,apps_retention_android
com.JindoBlu.FourPlayers,BY,0,2024-09,1.0
com.RHPOSITIVE.squbedarkness,BY,0,2024-09,1.0
com.ai.gallery.android,BY,0,2024-09,1.0
com.busuu.android.enc,BY,0,2024-09,1.0
com.evernote,BY,0,2024-09,1.0
com.google.android.calculator,BY,0,2024-09,1.0
com.microsoft.emmx,BY,0,2024-09,1.0
org.lichess.mobileapp,BY,0,2024-09,1.0
pdfreader.pdfviewer.allofficedocumentreader.pdfgo,BY,0,2024-09,1.0
com.banix.drawsketch.animationmaker,BY,0,2024-09,1.0
