country,keyword,search_engine_type,date,keywords_volume
WW,youtube,Google Search,2024-06-24,15752278.631731272
WW,euro 2024,Google Search,2024-06-24,14580314.520827193
WW,ind vs aus,Google Search,2024-06-24,13419440.419778349
IN,ind vs aus,Google Search,2024-06-24,11323337.2663485
WW,facebook,Google Search,2024-06-24,10873961.94237142
WW,copa america,Google Search,2024-06-24,9207154.99925031
WW,eurocopa,Google Search,2024-06-24,8484416.474898467
WW,pornhub,Google Search,2024-06-24,8187473.759268738
WW,amazon,Google Search,2024-06-24,7508355.369086291
WW,weather,Google Search,2024-06-24,7504233.310283197
