domain,country,segment_id,search_term,oss_phrase_sector,yearmonth,oss_phrase_rank,oss_phrase_conversion_rate,oss_phrase_visits,oss_phrase_converted_visits
iherb.com,RU,iherb.com#,крем,Vitamins and Supplements,2024-05,1,0.0,969,0
iherb.com,RU,iherb.com#,крем для рук,Vitamins and Supplements,2024-05,16,0.0,484,0
iherb.com,RU,iherb.com#,rhamnosus,Vitamins and Supplements,2024-05,22,0.0,484,0
iherb.com,RU,iherb.com#,working hands,Vitamins and Supplements,2024-05,10,0.0,484,0
iherb.com,RU,iherb.com#,hands,Vitamins and Supplements,2024-05,6,0.0,484,0
iherb.com,RU,iherb.com#,для,Vitamins and Supplements,2024-05,3,0.0,726,0
iherb.com,RU,iherb.com#,theanine,Vitamins and Supplements,2024-05,9,0.0,484,0
iherb.com,RU,iherb.com#,рук,Vitamins and Supplements,2024-05,4,0.0,726,0
iherb.com,RU,iherb.com#,complex,Vitamins and Supplements,2024-05,13,0.0,484,0
iherb.com,RU,iherb.com#,nac,Vitamins and Supplements,2024-05,21,0.0,484,0
