domain,category_id,keyword,yearmonth,category_onsite_search_top_keywords_total_clicks,category_onsite_search_top_keywords_organic_clicks_share,category_onsite_search_top_keywords_paid_clicks_share,category_onsite_search_top_keywords_top_brand,category_onsite_search_top_keywords_top_brand_share
amazon.com,-1,beetlejuice,2024-09,3607322,0.969,0.031,Michael Keaton,0.018
amazon.com,-1,iphone 16 pro max case,2024-09,2443347,0.658,0.342,ESR,0.104
amazon.com,-1,iphone 16 pro case,2024-09,2408014,0.655,0.345,ESR,0.108
amazon.com,2335752011,iphone 16 pro max case,2024-09,2007317,0.659,0.341,ESR,0.127
amazon.com,2407760011,iphone 16 pro max case,2024-09,1942871,0.657,0.343,ESR,0.131
amazon.com,2335752011,iphone 16 pro case,2024-09,1921868,0.655,0.345,ESR,0.135
amazon.com,2407760011,iphone 16 pro case,2024-09,1859820,0.655,0.345,ESR,0.14
amazon.com,-1,toilet paper,2024-09,1815208,0.616,0.384,Scott,0.162
amazon.com,-1,homecoming dresses,2024-09,1762668,0.573,0.427,ZAFUL,0.052
amazon.com,-1,stanley cup,2024-09,1741214,0.749,0.251,Stanley,0.747
