domain,ticker,exchange,report,yearmonth,isin_code
lafarge.co.zw,LACZ,ZSE,EMEA,2024-05,ZW0009012445
lafarge.co.zw,LACZ,ZSE,GLOBAL,2024-05,ZW0009012445
ecocashholdings.co.zw,EHZL,ZSE,EMEA,2024-05,ZW0009012437
ecocashholdings.co.zw,EHZL,ZSE,GLOBAL,2024-05,ZW0009012437
tanganda.com,TANG,ZSE,EMEA,2024-05,ZW0009012411
tanganda.com,TANG,ZSE,GLOBAL,2024-05,ZW0009012411
firstcapitalbank.co.zw,FCA,ZSE,EMEA,2024-05,ZW0009012353
firstcapitalbank.co.mz,FCA,ZSE,EMEA,2024-05,ZW0009012353
firstcapitalbank.co.bw,FCA,ZSE,EMEA,2024-05,ZW0009012353
firstcapitalbank.co.zw,FCA,ZSE,GLOBAL,2024-05,ZW0009012353
